# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/STU/HG03672/aligned/HG03672.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	4990740d	6aac8e86	0e613c02
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	55015578	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	55015578
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	27507789
SN	last fragments:	27507789
SN	reads mapped:	55013631
SN	reads mapped and paired:	55012548	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1947
SN	reads properly paired:	54788232	# proper-pair bit set
SN	reads paired:	55015578	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4826411	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	48965
SN	total length:	5497468490	# ignores clipping
SN	total first fragment length:	2748734245	# ignores clipping
SN	total last fragment length:	2748734245	# ignores clipping
SN	bases mapped:	5497279339	# ignores clipping
SN	bases mapped (cigar):	5489230371	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	18649228	# from NM fields
SN	error rate:	3.397421e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.5
SN	insert size average:	221.0
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	27417583
SN	outward oriented pairs:	5517
SN	pairs with other orientation:	4898
SN	pairs on different chromosomes:	78276
SN	percentage of properly paired reads (%):	99.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	26	0	0	11	0	0	401	1024	1686	17080	9614	41693	9202	785	780	966	7441	21293	17956	49107	29054	1620	11443	7095	29409	84310	84515	57881	204367	22072	109668	235740	263953	331851	385305	646481	470708	1039973	1024391	2593574	2334752	5760488	11600100	0
FFQ	27	0	0	11	0	0	473	1226	2119	20559	13456	44161	8333	1029	998	1098	9281	24951	22068	47270	29586	1953	13032	7817	31950	96007	83055	59159	203744	23321	112174	254419	267743	327373	394991	652975	495174	1050716	1034928	2645990	2323363	5869544	11331742	0
FFQ	28	0	0	568	0	0	548	1313	2478	23379	17176	41887	6450	1177	1301	1324	11071	29191	25941	43569	30199	2383	14201	8589	33914	106567	81499	61288	201747	24767	114994	276172	274339	321426	408333	661518	525366	1059944	1049133	2711220	2302742	5991747	11038328	0
FFQ	29	0	0	456	0	0	577	1625	2906	25313	20574	37742	4237	1449	1557	1574	12765	32007	26685	40265	31037	2703	16003	9437	35802	117869	82939	64699	198461	26501	117536	299641	281409	310653	421842	670759	557974	1070196	1063183	2784362	2280489	6090501	10764061	0
FFQ	30	0	0	998	0	0	685	1924	3551	29659	27229	36716	2855	1563	1887	1758	14890	35749	25970	37861	32123	3203	16414	10432	38458	127219	85735	65930	191506	28396	119744	322659	286382	298182	438012	675997	594801	1073963	1076457	2857972	2256314	6185903	10498692	0
FFQ	31	0	0	26	0	0	787	2210	4150	30874	31651	30830	1452	1848	2095	2158	17251	40214	24124	37424	33974	3695	18214	11471	39724	136603	91947	69914	189160	30732	125627	349544	297247	287468	457753	685665	636125	1084661	1093194	2956754	2222506	6266341	10192376	0
FFQ	32	0	0	39	0	0	831	2601	4855	33222	37868	25127	864	2146	2451	2451	19168	41719	19539	37159	34423	4188	20020	12667	41198	140323	97660	72659	181271	32848	129058	373490	304186	271510	477072	688114	680666	1088149	1117947	3054938	2195252	6337827	9921193	0
FFQ	33	0	0	47	0	0	917	2956	5911	36191	45014	19462	720	2506	2748	2892	21777	44397	15958	38588	36059	4721	22325	13882	43078	146122	103814	76921	176371	36025	133480	396974	315110	260342	499041	692326	729305	1088281	1129906	3148882	2149521	6387141	9675973	0
FFQ	34	0	0	50	0	0	997	3422	7085	38780	51360	13626	757	2761	3172	3496	24581	46936	12540	40008	37099	5560	24461	15095	44954	151129	111256	80376	172973	39878	138605	421042	324312	249498	521291	697504	780614	1082900	1152076	3242366	2100933	6421864	9439390	0
FFQ	35	0	0	49	0	0	1184	4253	8519	43037	61337	9985	888	3215	3880	4127	28829	51129	10125	41886	38968	6370	26262	17244	47713	156218	117909	85027	170040	44062	142124	443203	333956	242315	546712	700309	835715	1066524	1180161	3333396	2063795	6433720	9199651	0
FFQ	36	0	0	53	0	0	1285	4693	9872	42981	64075	5358	1065	3768	4520	4866	32836	52148	8233	42960	40272	7438	28948	18942	50283	162750	124667	90866	171495	48521	148603	462574	349239	241053	578918	706404	893929	1061212	1201644	3418896	2034377	6462715	8920483	0
FFQ	37	0	0	59	0	0	1566	5531	11834	45910	71500	2994	1181	4313	5327	5692	36273	51204	7398	45811	42746	8559	31915	21093	54189	170378	126643	97098	173810	54514	155233	484532	363026	244109	616784	716162	956108	1053256	1230668	3507319	2026948	6454001	8616545	0
FFQ	38	0	0	79	0	0	1370	4951	10833	38497	61588	1517	1397	4490	5772	6010	38809	47017	6082	38591	35227	9999	30385	21633	53656	152151	127411	93091	147291	56813	130838	491669	334768	223010	605037	652594	991911	915742	1240073	3261672	2195313	6063834	9400444	0
FFQ	39	0	0	67	0	0	1489	5481	11930	37383	59621	1075	1573	5048	6381	6751	41487	43007	6526	38976	35970	10898	29120	22990	59233	155455	121248	97156	149827	61611	135340	481402	342027	226886	627735	643515	1034917	895555	1231923	3118997	2262818	6024688	9464789	0
FFQ	40	0	0	77	0	0	1572	6283	13729	39025	63005	1026	1627	5351	7109	7557	42938	37661	7124	40064	37098	11770	30578	24546	61917	157214	111343	101236	152458	67695	139797	467397	349222	233203	649218	633321	1069999	878049	1234599	3111377	2222490	6030390	9451216	0
FFQ	41	0	0	113	0	0	1683	6785	15562	37683	60037	1051	1726	5979	7899	8778	45968	33660	8185	40801	37921	12987	32008	26449	66543	160181	105792	106093	154140	74800	144543	462115	356541	240717	678327	630429	1110065	871575	1243172	3114898	2191368	6015526	9387619	0
FFQ	42	0	0	76	0	0	1905	7987	18179	40498	64767	1236	2063	6509	9041	9856	48116	29673	9139	42971	40070	14321	33528	28664	70877	165413	97367	112698	159037	83260	150448	456333	367885	251523	705650	632230	1141231	876888	1256044	3125298	2175557	6009674	9253134	0
FFQ	43	0	0	195	0	0	2079	8920	20159	41018	64302	1311	2418	7469	10536	11420	52270	26758	10270	44000	41343	16114	35480	31641	77137	169742	93269	118642	160545	93002	155746	458261	379385	261924	739264	637929	1174266	885359	1280655	3144350	2169925	5982879	9088653	0
FFQ	44	0	0	105	0	0	2181	9690	21914	39687	60122	1399	2545	8096	11771	12569	52681	22907	11265	45017	41538	17886	36990	34460	83375	171239	86485	125579	162606	103735	161458	452343	389876	271029	766177	645592	1196793	899313	1305739	3159471	2185910	5981831	8916825	0
FFQ	45	0	0	505	0	0	2580	10872	25213	42461	63768	1587	2815	8490	13091	13996	52017	18279	12426	43619	43134	27708	31152	37102	93082	175225	80960	133974	165560	115110	167418	445379	404547	283150	790215	657759	1218241	924093	1325239	3172076	2141472	6022158	8731157	0
FFQ	46	0	0	172	0	0	2746	11697	27601	42410	60405	1827	3242	9180	15319	15446	53856	16048	13796	45120	44737	31215	32396	40661	101638	179848	75413	142353	168441	128641	174906	442123	421726	297938	818814	679489	1241052	954028	1348562	3185933	2155451	5981855	8531042	0
FFQ	47	0	0	249	0	0	3219	13289	30849	44194	59976	2030	3697	10094	17268	17058	52458	13639	15111	46660	45322	34839	33612	44917	110722	182406	68793	152315	171167	144627	181224	441803	438072	312648	841646	706293	1263021	985006	1378700	3202828	2180536	5929925	8316500	0
FFQ	48	0	0	159	0	0	2266	9949	25463	37295	51079	2157	4087	10155	19021	16852	52804	10359	13265	40134	37356	36674	30615	46813	110949	168412	63075	148549	149023	158334	159352	442214	414844	298536	839307	670610	1303988	913728	1431750	2969235	2426220	5698506	8683171	0
FFQ	49	0	0	169	0	0	2332	10232	26479	36588	46277	2081	3896	10002	19102	17600	47367	9299	13955	40233	37502	36018	30517	47196	99504	171699	51385	151028	154615	161322	165085	405900	418190	305043	819729	688643	1306670	968752	1437085	2634935	2638731	5630048	8850690	0
FFQ	50	0	0	171	0	0	2483	10577	27961	36748	43260	2046	3877	10070	19793	17935	41371	8615	14442	40553	37622	36140	30012	48015	101840	166786	43175	154004	153922	169081	171061	382032	423835	312231	807792	716401	1347111	998811	1444140	2582201	2588580	5568484	8932288	0
FFQ	51	0	0	200	0	0	2639	11614	31392	40347	44505	2238	4259	10443	21685	19693	38211	8464	15496	43110	39181	38110	30618	51301	106680	165023	37687	160889	155732	180830	178286	365430	435392	324391	803320	756132	1390795	1032208	1463295	2545104	2564308	5485729	8890310	0
FFQ	52	0	0	215	0	0	2824	13392	35265	45054	45451	2445	4686	11449	24811	21464	38223	8683	16192	45135	40046	41110	31633	55381	113690	164753	34559	169540	157499	195905	185921	355752	450219	337079	805099	800144	1440532	1069639	1492439	2515798	2560241	5413254	8749136	0
FFQ	53	0	0	222	0	0	2948	12569	34215	42819	36738	2740	5214	12219	26806	22114	34434	8723	16894	46469	39774	44536	32524	60029	120882	162638	31789	179132	157171	214401	193050	351793	468006	352043	811920	850290	1498307	1110556	1533532	2495870	2585552	5339432	8555907	0
FFQ	54	0	0	234	0	0	3236	13219	36464	45819	34421	2761	5369	12130	27764	22414	28824	8919	17293	48867	39861	47306	32944	63840	124880	158179	29223	188868	158323	230554	202417	340909	485783	369130	816580	902439	1556562	1154452	1571474	2473538	2609732	5253698	8375427	0
FFQ	55	0	0	324	0	0	3612	14200	39803	50196	32624	3165	5838	11438	30487	24846	26275	8798	18945	52324	41756	49068	36702	69678	132499	105697	79586	201930	157643	252567	214465	337276	506046	388312	813158	969320	1619965	1203364	1541209	2531615	2635319	5155009	8128395	0
