Sample	Overlapped regulatory features	Overlapped transcripts	Overlapped genes	Existing variants	Novel variants	Variants filtered out	Variants processed	Lines of input read
FIN_CALU	4	27	3	27	11	0	38	38
FIN_CYP2C9	0	23	3	46	24	0	70	70
FIN_CYP2D6	0	38	3	1	0	0	1	1
FIN_CYP4F2	0	27	4	65	12	0	77	77
FIN_DRD2	5	15	3	108	38	0	146	146
FIN_GGCX	3	52	3	22	8	0	30	30
FIN_OPRM1	7	49	5	203	145	0	348	348
FIN_UGT2B7	4	15	4	129	23	0	152	152
FIN_VKORC1	2	15	4	12	4	0	16	16
GBR_CALU	4	27	3	46	14	0	60	60
GBR_CYP2C9	0	23	3	27	16	0	43	43
GBR_CYP4F2	0	27	4	59	4	0	63	63
GBR_DRD2	4	15	3	89	32	0	121	121
GBR_GGCX	2	52	3	29	5	0	34	34
GBR_OPRM1	8	49	5	209	100	0	309	309
GBR_UGT2B7	4	15	4	72	21	0	93	93
GBR_VKORC1	2	15	4	5	5	0	10	10
GIH_CALU	2	27	3	5	6	0	11	11
GIH_CYP2C9	0	23	3	39	6	0	45	45
GIH_CYP4F2	0	26	3	46	6	0	52	52
GIH_DRD2	3	15	3	72	36	0	108	108
GIH_GGCX	0	52	3	11	2	0	13	13
GIH_OPRM1	4	49	5	103	46	0	149	149
GIH_UGT2B7	3	15	4	46	6	0	52	52
GIH_VKORC1	1	15	4	6	0	0	6	6
GWD_CALU	0	27	3	3	5	0	8	8
GWD_CYP2C9	0	23	3	14	2	0	16	16
GWD_CYP4F2	0	26	3	30	2	0	32	32
GWD_DRD2	1	14	2	28	5	0	33	33
GWD_GGCX	1	47	3	16	7	0	23	23
GWD_OPRM1	3	49	5	53	14	0	67	67
GWD_UGT2B7	2	15	4	83	5	0	88	88
GWD_VKORC1	0	15	4	5	0	0	5	5
IBS_CALU	3	27	3	24	4	0	28	28
IBS_CYP2C9	0	23	3	47	6	0	53	53
IBS_CYP4F2	0	26	3	53	2	0	55	55
IBS_DRD2	4	15	3	76	18	0	94	94
IBS_GGCX	2	52	3	20	6	0	26	26
IBS_OPRM1	7	49	5	148	38	0	186	186
IBS_UGT2B7	4	15	4	147	10	0	157	157
IBS_VKORC1	1	15	4	7	2	0	9	9
ITU_CALU	1	27	3	6	3	0	9	9
ITU_CYP2C9	0	23	3	11	6	0	17	17
ITU_CYP4F2	0	27	4	20	2	0	22	22
ITU_DRD2	1	15	3	23	1	0	24	24
ITU_GGCX	0	52	3	9	2	0	11	11
ITU_OPRM1	1	48	5	49	14	0	63	63
ITU_UGT2B7	2	15	4	37	5	0	42	42
ITU_VKORC1	1	15	4	2	2	0	4	4
JPT_CALU	0	27	3	3	2	0	5	5
JPT_CYP2C9	0	23	3	12	3	0	15	15
JPT_CYP4F2	0	23	1	8	3	0	11	11
JPT_DRD2	1	15	3	12	6	0	18	18
JPT_GGCX	0	42	2	1	0	0	1	1
JPT_OPRM1	1	48	5	34	9	0	43	43
JPT_UGT2B7	1	13	2	9	3	0	12	12
JPT_VKORC1	1	15	4	2	1	0	3	3
KHV_CALU	0	27	3	4	2	0	6	6
KHV_CYP2C9	0	22	2	3	2	0	5	5
KHV_CYP4F2	0	25	2	16	0	0	16	16
KHV_DRD2	2	15	3	21	3	0	24	24
KHV_GGCX	0	40	2	1	1	0	2	2
KHV_OPRM1	0	47	4	46	2	0	48	48
KHV_UGT2B7	3	15	4	47	3	0	50	50
KHV_VKORC1	0	15	4	2	0	0	2	2
LWK_CALU	4	27	3	20	9	0	29	29
LWK_CYP2C9	0	23	3	45	7	0	52	52
LWK_CYP4F2	0	26	3	69	10	0	79	79
LWK_DRD2	4	15	3	60	27	0	87	87
LWK_GGCX	0	50	3	24	3	0	27	27
LWK_OPRM1	6	49	5	218	58	0	276	276
LWK_UGT2B7	4	15	4	139	8	0	147	147
LWK_VKORC1	2	15	4	9	7	0	16	16
MSL_CALU	1	27	3	15	2	0	17	17
MSL_CYP2C9	0	23	3	18	2	0	20	20
MSL_CYP4F2	0	26	3	54	3	0	57	57
MSL_DRD2	1	15	3	19	8	0	27	27
MSL_GGCX	0	52	3	19	1	0	20	20
MSL_OPRM1	5	48	5	64	16	0	80	80
MSL_UGT2B7	3	15	4	66	8	0	74	74
MSL_VKORC1	1	15	4	3	3	0	6	6
PJL_CALU	3	27	3	26	14	0	40	40
PJL_CYP2C9	0	23	3	55	15	0	70	70
PJL_CYP4F2	0	27	4	16	9	0	25	25
PJL_DRD2	3	15	3	75	26	0	101	101
PJL_GGCX	0	52	3	18	6	0	24	24
PJL_OPRM1	6	49	5	211	71	0	282	282
PJL_UGT2B7	4	15	4	164	13	0	177	177
PJL_VKORC1	1	15	4	7	2	0	9	9
SAS_CALU	3	27	3	36	26	0	62	62
SAS_CYP2C9	0	23	3	86	28	0	114	114
SAS_CYP4F2	0	27	4	66	20	0	86	86
SAS_DRD2	4	15	3	115	71	0	186	186
SAS_GGCX	0	52	3	27	10	0	37	37
SAS_OPRM1	8	49	5	291	151	0	442	442
