Sample	missense_variant	synonymous_variant	frameshift_variant	stop_gained	start_lost
IBS_OPRM1	17.0	2.0	nan	1.0	nan
IBS_UGT2B7	9.0	49.0	nan	nan	nan
IBS_VKORC1	nan	6.0	nan	nan	nan
ITU_CALU	11.0	nan	nan	nan	nan
ITU_CYP4F2	16.0	18.0	nan	nan	nan
ITU_DRD2	nan	16.0	nan	nan	nan
ITU_GGCX	nan	23.0	nan	nan	nan
ITU_OPRM1	16.0	2.0	nan	nan	nan
ITU_UGT2B7	9.0	17.0	nan	nan	nan
ITU_VKORC1	10.0	nan	nan	nan	nan
JPT_CALU	24.0	nan	nan	nan	nan
JPT_CYP4F2	16.0	nan	nan	nan	nan
JPT_DRD2	nan	8.0	nan	nan	nan
JPT_OPRM1	1.0	2.0	nan	nan	nan
JPT_UGT2B7	nan	16.0	nan	nan	nan
KHV_CALU	24.0	11.0	nan	1.0	nan
KHV_CYP2C9	19.0	nan	nan	nan	nan
KHV_CYP4F2	34.0	19.0	nan	nan	nan
KHV_DRD2	nan	8.0	nan	nan	nan
KHV_GGCX	23.0	nan	nan	nan	nan
KHV_OPRM1	16.0	2.0	nan	1.0	nan
KHV_UGT2B7	9.0	17.0	nan	nan	nan
LWK_CALU	35.0	nan	nan	nan	nan
LWK_CYP2C9	35.0	nan	nan	nan	nan
LWK_CYP4F2	118.0	68.0	nan	nan	nan
LWK_DRD2	nan	17.0	nan	nan	nan
LWK_GGCX	41.0	41.0	nan	nan	nan
LWK_OPRM1	31.0	3.0	nan	4.0	nan
LWK_UGT2B7	9.0	56.0	nan	nan	nan
LWK_VKORC1	5.0	4.0	nan	nan	nan
MSL_CALU	36.0	24.0	nan	nan	nan
MSL_CYP2C9	37.0	17.0	nan	nan	nan
MSL_CYP4F2	86.0	82.0	nan	nan	nan
MSL_DRD2	nan	25.0	nan	nan	nan
MSL_GGCX	23.0	65.0	1.0	nan	nan
MSL_OPRM1	38.0	12.0	nan	nan	nan
MSL_UGT2B7	16.0	40.0	nan	nan	nan
MSL_VKORC1	7.0	10.0	nan	nan	nan
PJL_CALU	24.0	nan	nan	nan	nan
PJL_CYP2C9	16.0	17.0	nan	nan	nan
PJL_CYP4F2	52.0	19.0	nan	nan	nan
PJL_DRD2	8.0	25.0	nan	nan	nan
PJL_GGCX	23.0	46.0	nan	nan	nan
PJL_OPRM1	17.0	2.0	nan	1.0	nan
PJL_UGT2B7	9.0	24.0	nan	nan	nan
PJL_VKORC1	6.0	nan	nan	nan	nan
SAS_CALU	35.0	nan	nan	nan	nan
SAS_CYP2C9	33.0	17.0	nan	nan	nan
SAS_CYP4F2	87.0	52.0	nan	nan	nan
SAS_DRD2	8.0	25.0	nan	nan	nan
SAS_GGCX	23.0	46.0	nan	nan	nan
SAS_OPRM1	32.0	17.0	nan	2.0	nan
SAS_UGT2B7	15.0	40.0	nan	nan	nan
SAS_VKORC1	16.0	nan	nan	nan	nan
STU_CALU	24.0	nan	nan	nan	nan
STU_CYP4F2	16.0	nan	nan	nan	nan
STU_DRD2	nan	16.0	nan	nan	nan
STU_GGCX	nan	23.0	nan	nan	nan
STU_OPRM1	16.0	2.0	nan	nan	nan
STU_UGT2B7	9.0	24.0	nan	nan	nan
TSI_CALU	35.0	nan	nan	nan	nan
TSI_CYP2C9	16.0	17.0	nan	nan	nan
TSI_CYP2D6	nan	nan	20.0	nan	nan
TSI_CYP4F2	82.0	19.0	nan	nan	nan
TSI_DRD2	nan	25.0	nan	nan	nan
TSI_GGCX	23.0	66.0	nan	nan	nan
TSI_OPRM1	31.0	2.0	nan	1.0	nan
TSI_UGT2B7	9.0	40.0	nan	nan	nan
YRI_CALU	35.0	nan	nan	nan	nan
YRI_CYP2C9	35.0	17.0	nan	nan	nan
YRI_CYP4F2	118.0	85.0	nan	nan	nan
YRI_DRD2	nan	34.0	nan	nan	nan
YRI_GGCX	23.0	67.0	1.0	nan	nan
YRI_OPRM1	79.0	22.0	nan	1.0	nan
YRI_UGT2B7	9.0	45.0	nan	nan	nan
YRI_VKORC1	5.0	4.0	nan	nan	nan
