# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ASW/NA20339/aligned/NA20339.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a410a759	01b28d50	d2d49a64
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	72332428	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	72332428
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	36166214
SN	last fragments:	36166214
SN	reads mapped:	72226111
SN	reads mapped and paired:	72225660	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	106317
SN	reads properly paired:	71943586	# proper-pair bit set
SN	reads paired:	72332428	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	7330778	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	14178
SN	total length:	7298768756	# ignores clipping
SN	total first fragment length:	3649384378	# ignores clipping
SN	total last fragment length:	3649384378	# ignores clipping
SN	bases mapped:	7288040535	# ignores clipping
SN	bases mapped (cigar):	7283647123	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	17020926	# from NM fields
SN	error rate:	2.336869e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.8
SN	insert size average:	209.3
SN	insert size standard deviation:	71.2
SN	inward oriented pairs:	36072865
SN	outward oriented pairs:	5329
SN	pairs with other orientation:	5393
SN	pairs on different chromosomes:	29243
SN	percentage of properly paired reads (%):	99.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	66	0	0	26435	0	0	4514	13180	52075	68365	2682	6838	13721	12823	56169	15683	10239	7630	19396	53800	35241	72008	41676	119490	114097	50748	80169	304693	97911	330579	304203	335030	638964	559447	899888	1700794	4640836	2319070	3049330	2089544	4393498	4783422	8831031	0
FFQ	67	0	0	35417	0	0	4991	13475	55746	70829	1800	7324	14616	12486	55468	14300	10262	7828	20655	57404	35596	75048	42785	123974	110425	51388	84447	317518	98728	324772	321483	350815	654271	582594	928556	1787032	4978779	2446467	3181821	2010935	4482950	4515821	8266077	0
FFQ	68	0	0	45650	0	0	5313	13336	57563	69819	1050	8154	15553	12602	56076	13454	10763	8017	21428	60499	35646	79772	44495	130661	107858	53229	89816	332142	99247	323831	341202	371675	672412	609978	961882	1886021	5327643	2575309	3313918	1939233	4561635	4228045	7669603	0
FFQ	69	0	0	56921	0	0	5774	13604	62179	71496	636	8642	16545	12918	56906	12586	11671	8472	22917	64484	36058	84003	45989	136231	105169	55016	97352	348898	102800	321078	361859	395018	696155	639243	1004465	1995865	5686357	2712162	3450158	1867225	4609395	3950303	7027554	0
FFQ	70	0	0	69176	0	0	5939	12992	63874	67877	268	9206	17529	13095	56614	11812	12358	8589	23467	67250	35833	89381	47898	124889	89363	86003	101859	362316	104714	316157	384557	420279	717695	669066	1051766	2116144	6055287	2855437	3580337	1788845	4674206	3662602	6378963	0
FFQ	71	0	0	82952	0	0	6510	13171	68292	69037	151	10102	18480	13223	56336	11361	13434	9206	25156	72014	36102	94499	49141	127673	87309	91601	109745	380182	109079	309073	410840	447262	739827	700615	1106998	2244812	6430879	2991822	3707470	1703889	4703476	3371708	5729657	0
FFQ	72	0	0	97644	0	0	7097	13333	73876	69131	83	11301	20055	13452	57075	10681	14352	9176	26411	75282	37045	101287	51765	130319	87001	96615	117127	396896	113911	306672	435536	476707	766657	735983	1165963	2385707	6814980	3130187	3825180	1611386	4717214	3064167	5085208	0
FFQ	73	0	0	113432	0	0	7324	12102	71876	62090	38	12500	21271	14443	56540	10085	15226	9096	27393	78196	36343	105667	51904	129756	84775	101800	123568	408987	117490	294047	457876	500135	781128	764825	1223875	2516390	7235220	3266607	3953682	1509119	4713213	2761022	4502693	0
FFQ	74	0	0	130321	0	0	7907	12929	80242	64854	27	13132	21965	14174	53788	9419	16414	9695	28884	83227	36733	110997	53371	127915	84904	106514	132421	422146	124207	284194	482390	522784	798891	792671	1283142	2658405	7664535	3394945	4074000	1410807	4650853	2458048	3929013	0
FFQ	75	0	0	147711	0	0	8341	11574	77735	56448	25	14176	22770	14633	53917	8816	17396	9598	29318	83593	35866	115952	53521	123327	84117	109996	137176	384731	170745	271644	501974	544588	812927	817387	1349641	2798398	8127460	3522191	4191812	1308076	4576796	2171787	3383689	0
