# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EUR/TSI/NA20761/aligned/NA20761.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c2350d15	cd491b12	a01eca51
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	86845814	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	86845814
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	43422907
SN	last fragments:	43422907
SN	reads mapped:	86716767
SN	reads mapped and paired:	86713868	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	129047
SN	reads properly paired:	86003960	# proper-pair bit set
SN	reads paired:	86845814	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5119212	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	26229
SN	total length:	7813757298	# ignores clipping
SN	total first fragment length:	3906878649	# ignores clipping
SN	total last fragment length:	3906878649	# ignores clipping
SN	bases mapped:	7802152665	# ignores clipping
SN	bases mapped (cigar):	7771958224	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	30738956	# from NM fields
SN	error rate:	3.955111e-03	# mismatches / bases mapped (cigar)
SN	average length:	90
SN	average first fragment length:	90
SN	average last fragment length:	90
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	90
SN	average quality:	35.7
SN	insert size average:	262.7
SN	insert size standard deviation:	92.2
SN	inward oriented pairs:	43221885
SN	outward oriented pairs:	8599
SN	pairs with other orientation:	9683
SN	pairs on different chromosomes:	116767
SN	percentage of properly paired reads (%):	99.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	34	0	0	2219	0	1968	2331	6244	7708	10359	13735	21042	23530	22567	33123	32445	28701	29187	41689	55162	66275	75466	96070	93482	101784	138853	165884	180919	243069	260109	317126	455369	509196	488017	1146911	973414	1940777	3290736	5642090	4077457	22815337	8572	0
FFQ	35	0	0	722	0	1742	1970	5310	6457	8826	11204	17176	19562	19372	26930	28357	26534	28022	38381	52723	62297	69318	90173	90611	99021	133758	159770	175101	238593	252450	315723	444009	503886	485524	1127291	967914	1948046	3294534	5655196	4136140	22866324	8758	0
FFQ	36	0	0	695	0	2400	4084	10798	10610	15723	15389	22280	22575	20248	29369	25047	32121	32606	40922	53871	60976	72307	77299	80055	80746	123397	146809	163473	206576	216101	246701	415914	446075	422096	1080700	906338	1745874	3084918	5604240	3968682	23924649	4026	0
FFQ	37	0	0	958	0	2172	2732	7059	8177	11790	13694	20645	22036	20026	28754	25863	28486	28374	40468	52882	61915	73377	82324	85740	87362	130610	152160	169866	227872	238028	278902	453639	464872	465665	1153807	960724	1858786	3200517	5771626	3785921	23393589	4266	0
FFQ	38	0	0	2152	0	2382	2719	6796	9405	11196	15198	23036	24556	22008	35042	29266	28594	27753	41924	52673	65597	78504	90009	89247	93823	139456	158627	177253	242620	256237	292709	482054	483957	487728	1210905	993353	1905165	3257970	5812609	3723634	23034192	4449	0
FFQ	39	0	0	908	0	3034	3011	7784	12203	12999	19823	30361	31379	28581	48050	37082	31933	29844	47817	58269	76114	92212	103982	100208	104035	157601	173899	195752	267285	280583	314480	532164	503916	523421	1300782	1051357	1963501	3339832	5957532	3514900	22453289	4059	0
FFQ	40	0	0	1283	0	4817	2994	8088	25236	11969	23385	35778	39214	25457	57398	33147	34303	35579	49629	60085	80415	94028	102147	104011	100590	164588	174058	194185	273900	275440	321742	534456	500235	538373	1277651	1071121	1996913	3375769	6089742	3346521	22345523	3425	0
FFQ	41	0	0	769	0	7567	11697	24136	25676	28009	28080	35971	41143	28980	48052	34975	45393	46232	56244	69571	80476	100066	94395	105065	96719	157021	182680	197023	255773	250462	303333	513175	485649	529431	1220774	1070281	1949317	3355136	6119152	3399512	22411328	3118	0
FFQ	42	0	0	3970	0	6341	8471	17484	20274	23618	29059	39700	40816	32369	57361	38009	45403	44103	60614	73779	88702	112599	106867	118218	108255	179007	196689	213330	296241	282143	349062	579690	516776	594443	1331359	1165710	2077597	3502062	6331022	3095736	21621892	2914	0
FFQ	43	0	0	1161	0	3475	3448	8180	10667	12992	16355	23764	26498	23666	35212	30733	36626	36694	50933	65940	79682	93233	101994	113170	106977	171685	191210	208160	295871	278798	363155	569863	524425	609498	1324059	1174221	2138798	3548719	6406709	3128092	21593047	3328	0
FFQ	44	0	0	6550	0	6304	4628	11535	28143	16084	27749	39936	48728	30574	64076	39783	42477	43454	60528	73822	96690	115889	120811	128002	120666	199741	209919	233451	332519	310622	388387	633923	554493	644700	1432010	1238347	2187905	3629537	6496187	2928525	20860814	2955	0
FFQ	45	0	0	1082	0	3480	3080	7488	11074	12207	16586	25525	27572	24568	38631	32123	35964	35087	52309	66167	83459	97997	109375	117378	113749	183304	198211	221826	316972	296669	383522	607847	544870	638221	1393162	1224904	2198255	3638906	6529845	3038790	21076164	3568	0
FFQ	46	0	0	534	0	4914	7828	16748	16329	23163	22776	31286	31734	26476	41846	32656	46582	45825	56722	71228	83158	104105	95312	110353	98929	169730	193528	210683	277558	263948	329919	569567	503772	592097	1313070	1190928	2099573	3599939	6599016	3123204	21401736	2647	0
FFQ	47	0	0	378	0	4251	5211	12064	14061	18237	21194	29942	31975	26493	41326	31930	42869	41847	56731	71731	86079	107026	102904	117627	107406	183342	202418	218232	308572	287713	366428	612623	530020	640286	1397277	1251572	2194727	3689072	6693812	3009133	20849379	2969	0
FFQ	48	0	0	379	0	4299	4362	10116	13434	15676	20137	29212	32125	26975	42030	33087	40839	39055	56559	70202	86564	106770	107753	120321	112274	187541	205822	222811	321405	299261	381757	626317	541914	659301	1418559	1274336	2232458	3727993	6732156	2959566	20641908	3098	0
FFQ	49	0	0	388	0	4457	4054	9325	13744	14643	20076	29629	32232	27314	43550	34060	40476	39562	57978	71322	90407	110122	113225	123883	115597	197211	212201	231123	335047	310895	395947	655059	557775	685102	1464101	1317124	2279020	3799286	6843106	2875003	20250994	2857	0
FFQ	50	0	0	460	0	4686	3977	9049	13526	13822	20007	29601	31801	26824	43916	33494	42302	40789	58991	72440	92836	112527	114934	128643	117503	204683	216083	235513	347596	316327	408202	677676	565045	711920	1495245	1367435	2327279	3870487	6963919	2737222	19948090	2575	0
FFQ	51	0	0	1676	0	6713	10291	21469	20554	28862	28045	37943	39122	31032	50783	37508	55308	54309	66385	81367	97403	124102	108774	129429	113279	197543	221799	240169	320671	295550	380281	649526	551126	681490	1430513	1332335	2248850	3819390	6860916	2888330	20141731	2443	0
FFQ	52	0	0	1355	0	5797	6491	14359	17378	21259	24680	34643	37553	29472	48761	35177	51104	49467	66233	82056	99027	126235	114982	136949	120723	212084	230786	246130	352787	317234	420980	688096	574997	732665	1490434	1397743	2347233	3909257	6993868	2756956	19608894	2712	0
FFQ	53	0	0	1549	0	6702	6427	14196	19891	21328	27530	39129	42808	33859	55233	38823	54620	52497	72611	87610	110014	138549	128860	150384	129835	235273	246828	266075	390155	345238	456184	754868	607321	794151	1592798	1506642	2440754	4068290	7196219	2467286	18803309	2285	0
FFQ	54	0	0	1224	0	7985	6235	13996	27539	19457	28453	40157	49695	32740	60622	40366	53592	54187	71652	87828	111794	138224	130419	153669	132339	241488	248634	268505	400266	350090	466564	771898	620198	818185	1609066	1546429	2485010	4138940	7297276	2366257	18512679	2078	0
FFQ	55	0	0	28531	0	6738	5885	12909	20315	18918	27425	39549	41599	33414	57859	39740	54554	53256	74376	90036	115189	143273	135652	158618	136662	251819	258203	278110	416785	361868	480047	811621	639920	849688	1669990	1595959	2519917	4212735	7376971	2270695	18114443	2046	0
FFQ	56	0	0	95366	0	11092	15396	30212	31289	38134	39243	52421	55405	37728	75451	45385	73281	70852	85342	98961	125445	164315	130386	165830	135849	254146	268949	291282	402305	352544	475978	805984	641741	862938	1624109	1649409	2549662	4297402	7370779	2200502	17778150	1613	0
FFQ	57	0	0	112500	0	10875	10633	22745	33890	28210	35712	48999	62560	36764	70707	42542	66134	66459	83715	100034	126223	160181	138660	173564	142942	265526	275050	295340	435509	369297	513859	836058	667861	906968	1671351	1691236	2618957	4353302	7453024	2147222	17327756	2071	0
FFQ	58	0	0	140712	0	9225	8225	17918	26626	25610	33888	48040	52313	38355	67709	43950	67272	64671	86975	103013	131880	167139	146638	180970	149936	282017	285813	307165	462096	389922	541060	881169	698133	952903	1745950	1770225	2681109	4457780	7556514	2012128	16766950	1961	0
FFQ	59	0	0	185585	0	8321	6817	14790	24281	20681	30178	44040	46984	35582	63856	41501	63267	63386	84161	101103	130498	162050	146665	182591	151284	284879	285820	308908	467747	392794	549915	892781	709167	974294	1763085	1803262	2718705	4512680	7611954	1967390	16550623	1920	0
FFQ	60	0	0	263913	0	9110	7623	15956	28771	21736	33515	49183	52218	38034	70388	44070	68482	69328	90592	108250	142153	174734	158046	197793	159623	310325	299838	328387	501986	415884	576143	955199	747401	1023633	1850607	1917431	2778644	4666987	7700885	1727770	15797038	1430	0
FFQ	61	0	0	381017	0	11451	14588	27020	26091	33670	34615	45163	49524	35163	63634	45114	74942	72588	87472	100929	129359	165987	137158	177413	145060	270199	283821	310408	432152	375093	530417	877148	703029	981595	1706954	1877900	2759332	4677313	7692404	1886444	16179021	1490	0
FFQ	62	0	0	412420	0	10376	10353	21156	28280	28851	35230	48834	54136	36576	69516	43110	74875	72972	93222	107741	139664	179478	149503	194333	156248	301301	302293	328569	487221	408919	576862	940745	745671	1041521	1820270	1959314	2823917	4756651	7739427	1773318	15427842	1550	0
FFQ	63	0	0	457264	0	9849	8240	17640	27814	23477	33438	47634	52362	35984	68717	41800	71187	71218	90634	106881	140097	176531	153667	196577	158607	307581	302402	330375	499156	417278	592250	958742	762109	1066760	1841027	1991956	2857739	4785715	7783069	1736877	15177465	1703	0
FFQ	64	0	0	532650	0	10684	8204	17948	31612	23031	36456	52801	55355	38017	77442	43958	74598	75590	96092	112527	151385	189728	165514	209003	165475	330338	315272	347673	530979	441090	616069	1013831	797288	1106293	1924952	2084566	2891975	4889726	7796449	1577022	14568270	1458	0
FFQ	65	0	0	652970	0	13573	9119	20761	56387	25274	50872	72290	79875	43680	114156	50772	85957	90945	109012	126416	177641	216652	187414	233285	177834	368798	336001	375667	573145	472089	637112	1071329	843811	1124452	2009527	2133484	2893718	4929464	7695943	1446208	13894043	1169	0
FFQ	66	0	0	836283	0	17561	22343	37379	35592	42883	46104	58179	66009	43039	84338	55264	95381	94086	109365	121312	162190	210540	170757	218350	176421	330060	337851	369385	521314	445528	643246	1020001	831941	1151725	1892757	2180329	2966416	5025003	7643085	1476556	13860671	1178	0
FFQ	67	0	0	875889	0	16341	16088	31026	41959	35344	46459	60761	74199	41880	91672	49888	91905	94457	110175	125792	169949	214604	177408	233469	183150	355291	347547	379249	567280	465708	685317	1057718	865730	1200914	1956214	2229066	3014314	5048260	7684435	1420379	13338734	1348	0
FFQ	68	0	0	940706	0	20284	17789	35142	59296	36621	57707	78425	94702	48029	116427	55732	101880	108997	123767	138520	195845	240983	200697	257214	196809	395682	367928	407240	612850	502333	711798	1118078	910571	1233549	2055869	2309423	3015123	5123203	7645508	1266529	12596999	1171	0
FFQ	69	0	0	1024452	0	18932	16212	32910	62691	34146	59261	82875	96924	50076	121332	56343	103136	112472	127128	142486	205054	248068	211556	266896	202472	412169	375359	418289	636414	520397	727720	1151279	942894	1252676	2112522	2350901	3034058	5168825	7611547	1213711	12193482	1268	0
FFQ	70	0	0	1160035	0	13628	10577	21517	40318	25898	42478	61076	64145	41930	91028	49775	89051	94483	112302	133037	181420	222261	195976	253498	197258	390140	364219	409656	623414	507633	733809	1156538	956443	1290166	2120339	2406712	3113544	5281759	7730177	1189580	12021437	1229	0
FFQ	71	0	0	1427241	0	31638	37380	55898	50369	58893	69121	79056	97156	73899	119864	100352	138579	155288	163093	195123	238412	286878	281289	341771	288935	433924	517044	502924	716084	557195	1076657	1189066	1161879	1857743	1885154	3327029	4157016	6427454	7569194	1307425	6415586	6366	0
FFQ	72	0	0	1471346	0	28467	30833	50383	52898	54772	69344	82153	105006	71782	129674	96947	143970	163005	173051	205550	256217	312798	292863	372995	304209	477862	540189	534515	784545	592201	1127676	1257912	1224526	1901065	2022466	3425500	4164121	6426694	7382649	1167867	5893431	6001	0
FFQ	73	0	0	1534789	0	34960	35385	58471	71920	61359	85281	100979	135315	79318	158627	105192	156968	181374	189468	217710	285137	340190	317748	393150	317505	513005	555243	556602	818287	624015	1130195	1295311	1249761	1889660	2085280	3453412	4071883	6344041	7220619	1111623	5611469	5734	0
FFQ	74	0	0	1613899	0	23676	22182	38686	52217	45657	63749	81672	99030	69691	127634	95330	141165	166311	176458	213250	267554	320602	303807	394529	319532	508691	561328	564092	838294	625657	1170491	1321453	1279483	1956077	2127930	3526588	4184612	6426369	7234691	1071500	5356843	5786	0
FFQ	75	0	0	1750267	0	27769	25721	45424	62804	50658	76305	94501	114684	76529	147783	102908	153063	180074	192987	225497	292209	348729	328013	419357	334936	544496	583984	585038	876503	652021	1182302	1396204	1310328	1989807	2227454	3623521	4022948	6256172	6944112	984087	5163042	3760	0
FFQ	76	0	0	1977416	0	3643	9461	31470	45973	35268	39715	57637	53930	63244	72495	80190	110319	97171	133256	161160	158809	187809	278767	227549	253398	339262	432757	364836	665027	422006	834359	625697	1274458	788287	1605171	1555785	3263329	5272111	5365468	8511756	7879638	116880	0
