# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/ITU/HG03723/aligned/HG03723.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	05bc82bd	50070ee2	b8ee4fe1
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	62165860	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	62165860
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31082930
SN	last fragments:	31082930
SN	reads mapped:	62162948
SN	reads mapped and paired:	62161856	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	2912
SN	reads properly paired:	61953578	# proper-pair bit set
SN	reads paired:	62165860	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5139025	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	44751
SN	total length:	6212665528	# ignores clipping
SN	total first fragment length:	3106332764	# ignores clipping
SN	total last fragment length:	3106332764	# ignores clipping
SN	bases mapped:	6212382514	# ignores clipping
SN	bases mapped (cigar):	6202837130	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	22445236	# from NM fields
SN	error rate:	3.618544e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.8
SN	insert size average:	226.9
SN	insert size standard deviation:	74.0
SN	inward oriented pairs:	31003080
SN	outward oriented pairs:	5281
SN	pairs with other orientation:	4590
SN	pairs on different chromosomes:	67977
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	26	0	0	863	0	0	597	1298	2091	24667	14376	65337	15237	1025	925	1077	9758	29542	24363	72868	45754	1921	15380	9520	39732	126443	119550	81373	295519	29885	161744	322079	370426	465783	528743	895562	606033	1415358	1350493	3337711	2914863	6710101	10974933	0
FFQ	27	0	0	207	0	0	680	1577	2648	30763	20415	71235	14170	1233	1168	1432	12292	35928	32002	71569	47619	2365	17293	10506	44385	143474	117433	84187	301062	31597	167521	348687	378471	464746	541794	908922	636880	1430810	1363739	3405805	2896262	6804936	10637117	0
FFQ	28	0	0	16	0	0	686	1653	3020	32043	24512	63607	10293	1486	1481	1644	14473	40375	36327	64704	47375	2725	18476	11357	46386	157367	115020	85301	297381	33476	169849	377160	384367	453245	557690	919467	670996	1444350	1384704	3480452	2875630	6928108	10325728	0
FFQ	29	0	0	97	0	0	847	2108	3777	38041	32392	63451	7614	1750	1850	1982	17293	45241	38416	60472	49576	3174	20942	12581	48783	175905	114614	89318	292411	35396	174473	409771	395567	439029	575823	930211	710918	1458838	1401367	3570714	2840169	7017002	10001017	0
FFQ	30	0	0	1087	0	0	928	2504	4410	41786	39961	57594	4475	1985	2191	2308	20303	50851	38070	57339	51380	3598	22082	13800	52614	191048	119458	92607	287487	38236	180198	445235	405531	425068	597248	941071	757156	1467501	1418832	3673087	2806361	7096910	9670630	0
FFQ	31	0	0	38	0	0	1004	2779	5386	46314	49111	50485	2380	2315	2493	2787	23343	56527	35134	56090	53060	4191	23870	15050	54715	202785	126000	97047	279490	41186	184122	481893	416221	407005	622820	953122	812753	1478183	1443713	3788157	2768200	7164488	9328673	0
FFQ	32	0	0	51	0	0	1190	3424	6444	50832	60759	43106	1248	2734	2957	3339	26594	61010	29929	57898	56316	4946	27085	16567	57317	214575	136844	102713	274110	45406	193671	521267	431888	388348	651660	963286	870024	1485425	1466608	3919127	2712284	7200600	8990254	0
FFQ	33	0	0	59	0	0	1288	4062	7983	56272	73476	34255	852	3080	3382	3954	31041	66938	24704	60471	59143	5639	29885	18178	59967	224516	149833	107522	268545	48879	200705	557439	448691	370342	682971	972606	932222	1488590	1491028	4038691	2650070	7210407	8693116	0
FFQ	34	0	0	67	0	0	1385	4728	9490	58942	83179	24158	873	3538	4069	4632	35151	71073	19300	61294	60659	6596	33123	20125	62954	229062	162789	112510	261174	53698	204752	594506	460321	354617	711677	975654	997968	1475892	1514560	4153479	2592999	7209371	8449416	0
FFQ	35	0	0	84	0	0	1634	5604	11177	63173	94725	15647	1069	4073	4767	5596	40104	73779	14713	63507	62836	7496	35150	22546	65678	238226	170734	118907	258046	58483	212645	624545	475885	342791	748347	981461	1067827	1456897	1548078	4269928	2535879	7200473	8176379	0
FFQ	36	0	0	93	0	0	1725	6460	13329	65828	104377	9149	1172	4808	5462	6533	44570	75146	11684	66367	65473	8850	38527	24866	69491	245451	177497	125168	256287	65011	219111	652209	490451	336585	786054	984577	1143556	1436898	1577796	4367718	2497733	7192669	7899346	0
FFQ	37	0	0	102	0	0	1955	7567	15606	67893	111796	4792	1439	5480	6529	7810	50547	74893	10029	68646	67971	10270	41992	27615	74186	255745	182867	132513	258447	72305	227450	680815	508566	338024	832046	991575	1219821	1420815	1606692	4461214	2476634	7157572	7596922	0
FFQ	38	0	0	97	0	0	1831	7009	14459	57724	97990	2208	1760	6032	7658	8070	54426	70794	8500	57768	56768	12265	40480	29078	74725	230047	189194	128026	220960	75419	191163	705803	468982	305621	819015	905358	1267632	1230836	1623392	4174781	2692869	6825248	8412386	0
FFQ	39	0	0	112	0	0	1938	7741	16848	57529	97547	1372	1704	6575	8360	9221	57529	63100	8924	58658	57324	13082	39584	30070	80472	231986	176403	132166	221465	81287	197008	680736	473362	308272	844068	884366	1313035	1193308	1601067	3962388	2762365	6786278	8608393	0
FFQ	40	0	0	118	0	0	2148	8880	19043	59906	102228	1201	1951	7175	9267	10168	61678	57570	10108	60121	59330	14262	41372	32244	84121	235333	162454	136956	224889	88609	202931	660445	481933	315128	874161	866840	1355868	1163455	1591315	3946862	2683823	6778051	8663032	0
FFQ	41	0	0	132	0	0	2335	10045	22035	61590	104445	1265	2272	7979	10758	12294	67838	52992	11689	62718	62648	15995	44143	35402	90802	245419	155045	145055	231695	98691	213032	656790	496739	329014	912747	859449	1397354	1155532	1593625	3953316	2620456	6747401	8583594	0
FFQ	42	0	0	512	0	0	2445	10839	24454	60031	100509	1440	2361	8568	12122	13515	70321	45766	12892	63155	62889	17417	45786	38385	96894	248031	144301	152209	234057	109488	217576	647581	507588	338223	949693	855072	1436017	1146541	1612675	3960970	2605719	6739929	8477756	0
FFQ	43	0	0	144	0	0	2695	12103	27283	60986	100253	1593	2758	9560	14080	15664	73740	39958	14372	64703	65048	19537	47823	42155	105196	252870	134510	161296	236946	122843	224538	646429	522508	351409	991167	856388	1468064	1154238	1634030	3977561	2593569	6706722	8318429	0
FFQ	44	0	0	158	0	0	2965	14160	32590	64905	106260	1723	3139	10626	16172	17927	78221	34913	16168	68298	68251	22181	51057	46851	114882	263218	125095	171760	243184	136929	233801	640085	541021	366803	1031759	863756	1491768	1174296	1651901	3999940	2586103	6668055	8111689	0
FFQ	45	0	0	171	0	0	3258	15038	34654	62807	99173	1976	3490	11268	18319	19456	78668	28211	17724	64319	67431	34367	43591	50169	126130	263676	120691	180844	242732	153218	237471	635204	552695	378616	1068456	870602	1511263	1190209	1682925	4006532	2544091	6707013	7945601	0
FFQ	46	0	0	187	0	0	3705	17100	39343	66211	100971	2127	3973	12257	20358	22129	78828	23870	19918	67936	70832	38474	44966	54433	137181	271332	109147	193998	250241	171470	250305	625440	575856	398173	1100082	892396	1523470	1223139	1699302	4023118	2540116	6646452	7752689	0
FFQ	47	0	0	254	0	0	4119	18929	44034	68143	100573	2465	4608	13738	23810	24663	79394	20619	21382	69469	72963	43199	46745	60435	149787	274951	100116	206968	250788	192121	258573	623604	596589	414429	1129528	921457	1541868	1256884	1729155	4030408	2558892	6579181	7536171	0
FFQ	48	0	0	211	0	0	2919	13988	35880	55785	81036	2718	5115	13929	26371	24163	79300	15949	19159	60052	59133	46677	43435	64486	152991	255404	92680	205109	219900	213810	227150	628469	570291	398635	1137219	878757	1574842	1169696	1801562	3803384	2843782	6405418	7841077	0
FFQ	49	0	0	225	0	0	3085	14836	37861	56940	77636	2605	4894	13434	26546	24885	70016	13843	20166	60417	60158	45452	42404	64323	139022	258443	74012	206700	225967	219290	236408	579161	576467	409556	1113387	902231	1551078	1235426	1798077	3385922	3125456	6360949	8032738	0
FFQ	50	0	0	249	0	0	3138	15515	41213	58050	74083	2479	4995	13532	27466	26627	62985	12954	21398	61260	61516	45953	42494	66541	143384	252616	61828	212872	227687	229861	245315	543101	586440	420501	1093529	941248	1571139	1276213	1787004	3330370	3043964	6314625	8145424	0
FFQ	51	0	0	270	0	0	3469	16540	44482	61314	71236	2658	5170	13962	30161	27946	57504	12678	22229	63337	62302	48849	43147	71088	151105	250032	53754	221689	228020	248300	254301	520696	600104	435202	1088039	989983	1604437	1313927	1800232	3284264	3005400	6235975	8125279	0
FFQ	52	0	0	304	0	0	3662	17213	47402	63866	67162	2918	5754	14743	32722	30023	52930	12792	23311	65583	62751	51973	44415	75964	160297	246554	47456	233203	228774	269006	263778	505325	620369	451320	1086616	1043166	1641112	1356342	1825765	3248967	2997685	6155628	8011777	0
