# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ESN/HG03303/aligned/HG03303.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	66b84639	bca936e2	95dd5a6c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	63790844	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	63790844
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31895422
SN	last fragments:	31895422
SN	reads mapped:	63770129
SN	reads mapped and paired:	63767904	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	20715
SN	reads properly paired:	63230316	# proper-pair bit set
SN	reads paired:	63790844	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5203072	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	82571
SN	total length:	6374097336	# ignores clipping
SN	total first fragment length:	3187048668	# ignores clipping
SN	total last fragment length:	3187048668	# ignores clipping
SN	bases mapped:	6372034412	# ignores clipping
SN	bases mapped (cigar):	6364309348	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	24092966	# from NM fields
SN	error rate:	3.785637e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.1
SN	insert size average:	223.3
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	31640494
SN	outward oriented pairs:	9878
SN	pairs with other orientation:	10438
SN	pairs on different chromosomes:	223142
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	47	0	0	165	0	0	3611	18119	44794	72069	107997	2900	5525	15741	29836	29231	98687	22899	22688	70980	74992	46333	53120	68631	174496	313202	121606	231064	271017	218273	266440	740812	643944	445093	1252048	939344	1721240	1266018	1866899	3893169	2565222	6258064	7906624	0
FFQ	48	0	0	181	0	0	3830	19571	49908	75464	108426	2959	5809	16796	33202	32365	94708	19983	24574	74783	77071	49756	54229	74608	186348	315252	107429	242784	275103	240001	278426	719376	663836	462864	1266866	974048	1721200	1305631	1884940	3875901	2571990	6220706	7751452	0
FFQ	49	0	0	197	0	0	4176	21345	54047	77409	103703	3283	6589	17985	37594	35165	93154	17360	26017	75755	78547	55237	55408	82065	183587	330179	92404	258274	282850	267023	286319	709190	685279	479801	1281891	1009991	1702678	1353124	1924326	3490178	2943083	6146708	7609927	0
FFQ	50	0	0	207	0	0	4684	23032	59093	81576	100496	3637	7321	19197	41496	37878	86813	16287	27852	78495	79668	59927	57008	89366	195618	328425	80675	272298	283271	293532	296725	689553	706807	501215	1289250	1059195	1712557	1388517	1949825	3476511	2956093	6083452	7443796	0
FFQ	51	0	0	227	0	0	4989	24399	62972	85149	95662	4172	8096	20555	46239	41139	80596	15405	29130	81056	80064	65338	57949	96066	208534	325098	69846	287716	283181	322351	305570	672328	729159	519819	1289380	1113177	1731959	1426679	1969030	3451347	2972142	6012723	7291627	0
FFQ	52	0	0	242	0	0	5591	26393	69191	91718	93338	4525	9158	21791	51297	44159	74512	15784	30633	85653	82562	71606	60111	106111	221885	322840	62152	306698	286416	356098	319562	655817	756342	544820	1294436	1178610	1747322	1465360	1988979	3423788	2976261	5915119	7113470	0
FFQ	53	0	0	250	0	0	4140	20883	58457	79169	74683	5122	10349	22524	57717	44614	70475	13492	27911	76120	68162	78289	58627	113066	231061	299680	55775	311568	255085	395019	289313	652428	745655	537387	1277236	1175038	1798624	1417176	2055999	3199348	3193730	5662524	7443126	0
FFQ	54	0	0	272	0	0	4530	21085	60313	80808	66886	4821	10031	21433	57326	43300	57969	13145	27655	76226	67913	75963	57230	113394	228622	276761	47336	312214	251111	402296	299483	598780	750915	553373	1232880	1232163	1844572	1466197	2055626	3132095	3136396	5590295	7607833	0
FFQ	55	0	0	295	0	0	4496	21238	61869	83238	59896	4918	10119	20145	59171	44908	49516	13114	28501	77543	67660	76004	60091	117387	231770	188740	115356	323034	244567	420956	310552	563669	765940	569125	1198366	1297565	1889867	1519037	1973673	3159998	3097482	5500132	7648764	0
FFQ	56	0	0	318	0	0	4791	22028	65310	88907	54510	5179	10863	20360	63062	45227	42983	13049	29617	81374	67440	78880	61272	125942	236870	173447	115517	336037	242212	444053	323259	538288	786938	590703	1179848	1366815	1943789	1566925	1990861	3097998	3085372	5389889	7588199	0
